"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[YRACURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]","[Language]","[Rating]"
"18370","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 24","0.1600","0.1560","0.1550","","False","False","1","Fixed","24","24","295.00","https://www.cirroenergy.com","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only","https://www.cirroenergy.com/files/09017518836818ee.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410811B.pdf","https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","English","3"
"18540","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Free Weekends-24","0.1590","0.1560","0.1540","","False","True","1","Fixed","26","24","250.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptclfw12","Free power from 12 midnight Friday night to 11:59 PM Sunday night. No monthly fee or minimum usage requirement. Indexed Solar Buyback Included.","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_103023.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2415&state=TX&language=EN","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","English","5"
"19228","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Free Weekends-24","0.1590","0.1560","0.1540","","False","True","1","Fixed","26","24","250.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptclfw12","Electricidad gratis desde la medianoche viernes hasta las 11:59 p.m. del domingo. Sin cuota mensual ni requisito de consumo mínimo. Recompra solar indexada incluida.","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_ES.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2415&state=TX&language=ES","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","Spanish","5"
"19261","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 12","0.1580","0.1540","0.1530","","False","False","1","Fixed","24","12","150.00","https://www.cirroenergy.com/espanol","Opciones eBill y Bill Alert sin papel ::: Servicio al cliente local 24/7 ::: Sin tarifas para VISA, DISCOVER y MC ::: Fácil acceso a la cuenta en línea ::: Esta oferta es solo para nuevos clientes","https://www.cirroenergy.com/files/09017518836818ef.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410792B.pdf","https://www.cirroenergy.com/espanol?txtPromocode=WA198B&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","Spanish","3"
"19272","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 24","0.1600","0.1560","0.1550","","False","False","1","Fixed","24","24","295.00","https://www.cirroenergy.com/espanol","Opciones eBill y Bill Alert sin papel ::: Servicio al cliente local 24/7 ::: Sin tarifas para VISA, DISCOVER y MC ::: Fácil acceso a la cuenta en línea ::: Esta oferta es solo para nuevos clientes","https://www.cirroenergy.com/files/09017518836818ef.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410812B.pdf","https://www.cirroenergy.com/espanol?txtPromocode=WA198B&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","Spanish","3"
"20174","AEP TEXAS CENTRAL","PAYLESS POWER","PTC 6 Month - Prepaid","0.1660","0.1630","0.1610","","True","False","1","Fixed","26","6","49.00","https://paylesspower.com/?affiliate=487447","Fixed price for 6 months with no credit check or deposit required. A minimum first payment of $75.00 is required to connect service.","https://paylesspower.com/files/tos_english_87.pdf","https://paylesspower.com/files/yrac_english_87.pdf","False","","https://paylesspower.com/files/87_3_eng.pdf","https://account.paylesspower.com/enroll/487447","https://paylesspower.com/files/pds_english_87.pdf","(855) 781-6967","TRUE","FALSE","English","1"
"20175","AEP TEXAS CENTRAL","PAYLESS POWER","PTC 12 Month - Prepaid","0.1760","0.1730","0.1710","","True","False","1","Fixed","26","12","49.00","https://paylesspower.com/?affiliate=487447","Fixed price for 12 months with no credit check or deposit required.  A first payment of $75.00 is required to connect service.","https://paylesspower.com/files/tos_english_86.pdf","https://paylesspower.com/files/yrac_english_86.pdf","False","","https://paylesspower.com/files/86_3_eng.pdf","https://account.paylesspower.com/enroll/487447","https://paylesspower.com/files/pds_english_86.pdf","(855) 781-6967","TRUE","FALSE","English","1"
"20176","AEP TEXAS CENTRAL","PAYLESS POWER","PTC 6 Month - Prepaid","0.1660","0.1630","0.1610","","True","False","1","Fixed","26","6","49.00","https://paylesspower.com/?affiliate=487447","Precio fijo por 6 meses sin verificación de crédito ni depósito. Se requiere un primer pago de $75.00 para conectar el servicio.","https://paylesspower.com/files/tos_spanish_87.pdf","https://paylesspower.com/files/yrac_spanish_87.pdf","False","","https://paylesspower.com/files/87_3_span.pdf","https://account.paylesspower.com/enroll/487447","https://paylesspower.com/files/pds_spanish_87.pdf","(855) 781-6967","TRUE","FALSE","Spanish","1"
"20177","AEP TEXAS CENTRAL","PAYLESS POWER","PTC 12 Month - Prepaid","0.1760","0.1730","0.1710","","True","False","1","Fixed","26","12","49.00","https://paylesspower.com/?affiliate=487447","Precio fijo por 12 meses sin verificación de crédito ni depósito. Se requiere un primer pago de $75.00 para conectar el servicio.","https://paylesspower.com/files/tos_spanish_86.pdf","https://paylesspower.com/files/yrac_spanish_86.pdf","False","","https://paylesspower.com/files/86_3_span.pdf","https://account.paylesspower.com/enroll/487447","https://paylesspower.com/files/pds_spanish_86.pdf","(855) 781-6967","TRUE","FALSE","Spanish","1"
"19358","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 36","0.1610","0.1570","0.1560","","False","False","1","Fixed","24","36","395.00","https://www.cirroenergy.com/espanol","Opciones eBill y Bill Alert sin papel ::: Servicio al cliente local 24/7 ::: Sin tarifas para VISA, DISCOVER y MC ::: Fácil acceso a la cuenta en línea ::: Esta oferta es solo para nuevos clientes","https://www.cirroenergy.com/files/09017518836818ef.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410860B.pdf","https://www.cirroenergy.com/espanol?txtPromocode=WA198B&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","Spanish","3"
"20508","AEP TEXAS CENTRAL","AP GAS & ELECTRIC (TX) LLC","TrueClassic 6","0.1230","0.1200","0.1180","","False","False","1","Fixed","6","6","150.00","www.apge.com","Lock in a fixed rate plan that gives you price security for the next 6 months. Flexible. Affordable. Energy. That's APG&E!","https://artemis-api.apge.com/api/v1/document?documentId=14&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","https://artemis-api.apge.com/api/v1/document?documentId=16&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","False","","https://artemis-api.apge.com/api/v1/document?documentId=73&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","https://www.apge.com/enroll#/offer?offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW&deploymentName=TX%20State%20Rate%20Board","","(866) 876-8909","TRUE","FALSE","English","1"
"20534","AEP TEXAS CENTRAL","AP GAS & ELECTRIC (TX) LLC","TrueClassic 6","0.1220","0.1190","0.1170","","False","False","1","Fixed","6","6","150.00","www.apge.com","Asegure un plan directo de tasa fija que le brinde seguridad en los precios durante los próximos 6 meses. Flexible. Affordable. Energy. ¡Eso es APG&E!","https://artemis-api.apge.com/api/v1/document?documentId=29&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","https://artemis-api.apge.com/api/v1/document?documentId=31&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","False","","https://artemis-api.apge.com/api/v1/document?documentId=74&offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW","https://www.apge.com/enroll#/offer?offerCode=SRBTX_AEC_NA_NA_RES_FPR_SD0_T6_NEW&deploymentName=TX%20State%20Rate%20Board&language=spanish","","(866) 876-8909","TRUE","FALSE","Spanish","1"
"19594","AEP TEXAS CENTRAL","CONSTELLATION NEWENERGY INC","12 Month Usage Bill Credit","0.1750","0.1370","0.1460","Constellation aplicará automáticamente un crédito en la factura de $ 35 a su factura para cada ciclo de facturación donde el uso sea de al menos 1000 kWh. Se aplicará un crédito adicional de $ 15 en la factura cuando el uso alcance los 2000 kWh","False","False","1","Fixed","26","12","150.00","https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html","","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4863299","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4863292","False","","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4906248","https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html","","(855) 797-8465","FALSE","TRUE","Spanish","4"
"19784","AEP TEXAS CENTRAL","RELIANT","Reliant Power On Flex plan","0.2020","0.1940","0.1890","","False","False","0","Variable","24","0","0.00","https://www.reliant.com/","This offer is for new customers only who enroll through Power to Choose.","https://www.reliant.com/files/0901751883727dcd.pdf","https://www.reliant.com/files/090175188358df5d.pdf","False","","https://www.reliant.com/defl/R1F00180021331A.pdf","https://shop.reliant.com/plans-for-you/?tdspCodeCCS=D0004&txtPromocode=WF3713&fromLP=ptc&sid=APTC_1686089562&utm_source=None&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_","","(855) 350-8650","TRUE","FALSE","English","5"
"21303","AEP TEXAS CENTRAL","Discount Power","Saver 24","0.1590","0.1550","0.1540","","False","False","1","Fixed","24","24","295.00","https://www.discountpowertx.com","Facturacion electronica y pago automatico con targeta de credito / targeta de debito o cuenta bancaria. Esta oferta es solo para nuevos clientes que se inscriban a traves de Power to Choose o utilizando el codigo de promocion especial; Codigo de promocion necesario: WQ4135.","https://www.discountpowertx.com/files/09017518836cbc70.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175411028B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&language=es&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","Spanish","3"
"21465","AEP TEXAS CENTRAL","NEC Co-op Energy","Residential Electricity... Plain and simple.","0.1600","0.1490","0.1440","","False","False","0","Variable","17","0","0.00","https://neccoopenergy.com/","Cuota de membresía cooperativa de $ 15. Al unirte a la cooperativa, te estás convirtiendo en un propietario de NEC Co-op Energy. Nuestra tarifa es honesta y todo incluido. Nunca tenemos tarifas ocultas o trucos. Ser cooperativo significa que no trabajamos con fines de lucro. ¡En cambio le pasamos los ahorros a usted! A lo largo del año, puede recibir un reembolso de dinero a través de Capital Credits o PowerPerks en su factura.","https://neccoopenergy.com/wp-content/uploads/2024/08/NEC-Co-op-Energy-Residential-IOU-Variable-Product-TOS-SPAN-rev4-18-24-added-Lubbock70.pdf","https://neccoopenergy.com/wp-content/uploads/2024/08/NEC-Co-op-Energy-Residential-IOU-Variable-Product-YRAC-SPAN-rev-4-19-24-added-Lubbock54.pdf","False","","https://neccoopenergy.com/wp-content/uploads/2025/12/EFL-1-1-26-RESIDENTIAL-AEP-TCC.pdf","https://neccoopenergy.com/residential-service/","","(855) 632-7348","FALSE","FALSE","Spanish","5"
"21537","AEP TEXAS CENTRAL","Discount Power","Saver 36","0.1600","0.1560","0.1550","","False","False","1","Fixed","24","36","395.00","https://www.discountpowertx.com","Facturacion electronica y pago automatico con targeta de credito / targeta de debito o cuenta bancaria. Esta oferta es solo para nuevos clientes que se inscriban a traves de Power to Choose o utilizando el codigo de promocion especial; Codigo de promocion necesario: WQ4131.","https://www.discountpowertx.com/files/09017518836cbc70.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175410924B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&language=es&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","Spanish","3"
"21641","AEP TEXAS CENTRAL","Discount Power","Saver 36","0.1600","0.1560","0.1550","","False","False","1","Fixed","24","36","395.00","https://www.discountpowertx.com","Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.","https://www.discountpowertx.com/files/0901751883681d09.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175410923B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","English","3"
"21776","AEP TEXAS CENTRAL","AMIGO ENERGY","Sustainable Simply Days - 3","0.1180","0.1110","0.1070","","False","True","1","Fixed","31","3","175.00","https://amigoenergy.com/","FREE electricity from 9:00 AM to 4:00 PM daily. A one-month GoodBundle setup and carbon offset purchase of $49.99 is required to enroll. Call (866) 327-0839 to enroll!","https://webs.amigoenergy.com/Generate_Docs/TosyracLink.aspx?RID=8+lYTwrvATA=&RCID=rv5fvOkFHh4=&L=6f+Ch9flI7k=","https://webs.amigoenergy.com/TOSYRAC/RES_YRAC_ENG.pdf","False","","https://webs.amigoenergy.com/Generate_Docs/Generate_EflLinks.aspx?RID=8+lYTwrvATA=&RCID=rv5fvOkFHh4=&L=6f+Ch9flI7k=","https://amigoenergy.com/lp/ptcsl/?utm_source=powertochoose&utm_medium=referral&utm_campaign=ST","","(866) 327-0839","TRUE","FALSE","English","4"
"21790","AEP TEXAS CENTRAL","Discount Power","Saver 24","0.1590","0.1550","0.1540","","False","False","1","Fixed","24","24","295.00","https://www.discountpowertx.com","Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.","https://www.discountpowertx.com/files/0901751883681d09.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175411027B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","English","3"
"21791","AEP TEXAS CENTRAL","Discount Power","Saver 12","0.1570","0.1530","0.1520","","False","False","1","Fixed","24","12","150.00","https://www.discountpowertx.com","Facturacion electronica y pago automatico con targeta de credito / targeta de debito o cuenta bancaria. Esta oferta es solo para nuevos clientes que se inscriban a traves de Power to Choose o utilizando el codigo de promocion especial; Codigo de promocion necesario: WQ4135.","https://www.discountpowertx.com/files/09017518836cbc70.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175410952B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&language=es&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","Spanish","3"
"21836","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-6","0.1520","0.1490","0.1470","","False","False","1","Fixed","26","6","150.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl6","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_103023.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2412&state=TX&language=EN","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","English","5"
"21845","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-6","0.1520","0.1490","0.1470","","False","False","1","Fixed","26","6","150.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl6","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_ES.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2412&state=TX&language=ES","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","Spanish","5"
"21999","AEP TEXAS CENTRAL","GREEN MOUNTAIN ENERGY COMPANY","Pollution Free e-Plus 24 Choice","0.1800","0.1720","0.1670","","False","False","1","Fixed","100","24","295.00","https://www.greenmountainenergy.com","¡Inscríbete para electricidad 100% Pollution Free hoy mismo! Solo para nuevos clientes. Este plan requiere que te inscribas en facturación Tree Free y Auto Pay en greenmountain.com/myaccount dentro de treinta (30) días de la fecha de inicio de tu servicio. Términos y condiciones adicionales aplicables. Ve la página de confirmación de pedido para detalles.","https://signup.greenmountainenergy.com/files/09017518836757a6.pdf","https://signup.greenmountain.com/files/0901751883592af0.pdf","False","","https://signup.greenmountain.com/defl/G1F00172600809A.pdf","https://www.greenmountainenergy.com/gmec-lnd-tx-ptc/?txtPromocode=WA0TEZ&sid=APTC_1686090168&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 854-2260","TRUE","FALSE","Spanish","3"
"22009","AEP TEXAS CENTRAL","GREEN MOUNTAIN ENERGY COMPANY","Pollution Free e-Plus 12 Choice","0.1800","0.1720","0.1670","","False","False","1","Fixed","100","12","150.00","https://www.greenmountainenergy.com","¡Inscríbete para electricidad 100% Pollution Free hoy mismo! Solo para nuevos clientes. Este plan requiere que te inscribas en facturación Tree Free y Auto Pay en greenmountain.com/myaccount dentro de treinta (30) días de la fecha de inicio de tu servicio. Términos y condiciones adicionales aplicables. Ve la página de confirmación de pedido para detalles.","https://signup.greenmountainenergy.com/files/09017518836757a6.pdf","https://signup.greenmountain.com/files/0901751883592af0.pdf","False","","https://signup.greenmountain.com/defl/G1F00172600804A.pdf","https://www.greenmountainenergy.com/gmec-lnd-tx-ptc/?txtPromocode=WA0TEZ&sid=APTC_1686090168&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 854-2260","TRUE","FALSE","Spanish","3"
